Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
United States,,"0.57 (0.54, 0.60)","0.55 (0.53, 0.58)","0.54 (0.52, 0.56)","0.55 (0.52, 0.57)","0.56 (0.53, 0.58)","0.55 (0.53, 0.57)","0.55 (0.53, 0.58)","0.56 (0.52, 0.59)","-1.79 (-10.30, 4.74)"
Alabama,1,"0.54 (0.50, 0.59)","0.52 (0.48, 0.56)","0.51 (0.47, 0.55)","0.52 (0.48, 0.55)","0.52 (0.48, 0.56)","0.52 (0.47, 0.57)","0.52 (0.46, 0.57)","0.52 (0.46, 0.58)","-4.22 (-16.37, 8.73)"
"Autauga County, Alabama",1001,"0.55 (0.44, 0.70)","0.53 (0.43, 0.66)","0.51 (0.41, 0.64)","0.52 (0.40, 0.65)","0.52 (0.39, 0.67)","0.51 (0.37, 0.69)","0.50 (0.35, 0.69)","0.50 (0.33, 0.70)","-10.31 (-40.38, 28.48)"
"Baldwin County, Alabama",1003,"0.52 (0.43, 0.63)","0.49 (0.41, 0.59)","0.48 (0.39, 0.59)","0.50 (0.40, 0.62)","0.50 (0.39, 0.62)","0.49 (0.37, 0.62)","0.51 (0.37, 0.68)","0.51 (0.36, 0.70)","-2.49 (-32.51, 36.41)"
"Barbour County, Alabama",1005,"0.55 (0.44, 0.68)","0.55 (0.44, 0.66)","0.54 (0.44, 0.67)","0.55 (0.44, 0.69)","0.56 (0.44, 0.71)","0.55 (0.41, 0.71)","0.56 (0.41, 0.75)","0.56 (0.40, 0.76)","0.52 (-27.99, 37.90)"
"Bibb County, Alabama",1007,"0.56 (0.44, 0.69)","0.55 (0.44, 0.67)","0.53 (0.43, 0.66)","0.55 (0.43, 0.70)","0.56 (0.43, 0.73)","0.54 (0.40, 0.71)","0.54 (0.37, 0.74)","0.54 (0.37, 0.77)","-3.39 (-32.58, 36.38)"
"Blount County, Alabama",1009,"0.53 (0.42, 0.64)","0.52 (0.42, 0.63)","0.50 (0.41, 0.60)","0.51 (0.41, 0.63)","0.53 (0.41, 0.66)","0.52 (0.40, 0.69)","0.51 (0.38, 0.69)","0.51 (0.37, 0.69)","-3.95 (-31.29, 33.28)"
"Bullock County, Alabama",1011,"0.53 (0.43, 0.68)","0.52 (0.41, 0.67)","0.50 (0.40, 0.65)","0.52 (0.39, 0.69)","0.53 (0.40, 0.72)","0.54 (0.38, 0.75)","0.54 (0.38, 0.78)","0.54 (0.36, 0.79)","0.95 (-31.68, 46.43)"
"Butler County, Alabama",1013,"0.51 (0.41, 0.63)","0.50 (0.40, 0.61)","0.49 (0.39, 0.61)","0.51 (0.40, 0.64)","0.52 (0.39, 0.66)","0.53 (0.38, 0.69)","0.53 (0.37, 0.73)","0.54 (0.37, 0.77)","4.69 (-29.55, 47.46)"
"Calhoun County, Alabama",1015,"0.53 (0.43, 0.65)","0.51 (0.42, 0.62)","0.51 (0.41, 0.63)","0.51 (0.40, 0.64)","0.52 (0.40, 0.66)","0.51 (0.38, 0.68)","0.50 (0.36, 0.68)","0.51 (0.35, 0.72)","-4.36 (-33.26, 36.06)"
"Chambers County, Alabama",1017,"0.55 (0.44, 0.67)","0.55 (0.45, 0.67)","0.53 (0.42, 0.65)","0.54 (0.43, 0.67)","0.56 (0.43, 0.72)","0.56 (0.41, 0.74)","0.55 (0.39, 0.75)","0.56 (0.38, 0.78)","1.03 (-29.07, 42.60)"
"Cherokee County, Alabama",1019,"0.53 (0.43, 0.65)","0.52 (0.42, 0.63)","0.51 (0.41, 0.63)","0.52 (0.41, 0.66)","0.53 (0.41, 0.68)","0.52 (0.39, 0.69)","0.50 (0.37, 0.68)","0.51 (0.36, 0.71)","-3.26 (-30.22, 33.06)"
"Chilton County, Alabama",1021,"0.55 (0.45, 0.66)","0.53 (0.43, 0.64)","0.52 (0.41, 0.64)","0.53 (0.43, 0.65)","0.54 (0.42, 0.68)","0.54 (0.40, 0.68)","0.54 (0.40, 0.74)","0.54 (0.38, 0.73)","-1.86 (-29.51, 37.01)"
"Choctaw County, Alabama",1023,"0.54 (0.43, 0.67)","0.53 (0.42, 0.65)","0.51 (0.40, 0.64)","0.52 (0.41, 0.66)","0.53 (0.41, 0.68)","0.51 (0.38, 0.67)","0.51 (0.37, 0.69)","0.50 (0.36, 0.71)","-6.50 (-33.85, 31.30)"
"Clarke County, Alabama",1025,"0.55 (0.44, 0.68)","0.53 (0.43, 0.64)","0.51 (0.41, 0.63)","0.51 (0.41, 0.66)","0.51 (0.40, 0.67)","0.50 (0.37, 0.67)","0.50 (0.35, 0.70)","0.50 (0.34, 0.70)","-8.83 (-36.06, 26.94)"
"Clay County, Alabama",1027,"0.55 (0.43, 0.68)","0.53 (0.43, 0.66)","0.52 (0.41, 0.65)","0.53 (0.41, 0.67)","0.53 (0.40, 0.71)","0.53 (0.38, 0.72)","0.52 (0.36, 0.74)","0.52 (0.34, 0.75)","-6.05 (-35.42, 37.03)"
"Cleburne County, Alabama",1029,"0.56 (0.45, 0.69)","0.56 (0.44, 0.68)","0.55 (0.44, 0.67)","0.55 (0.43, 0.68)","0.55 (0.42, 0.70)","0.56 (0.42, 0.72)","0.55 (0.40, 0.72)","0.55 (0.38, 0.75)","-2.13 (-29.32, 33.05)"
"Coffee County, Alabama",1031,"0.52 (0.38, 0.69)","0.51 (0.38, 0.68)","0.51 (0.37, 0.67)","0.52 (0.38, 0.69)","0.54 (0.38, 0.73)","0.54 (0.37, 0.77)","0.55 (0.36, 0.79)","0.56 (0.36, 0.84)","8.41 (-25.86, 58.36)"
"Colbert County, Alabama",1033,"0.53 (0.42, 0.65)","0.52 (0.42, 0.64)","0.51 (0.40, 0.63)","0.52 (0.41, 0.65)","0.53 (0.40, 0.69)","0.52 (0.38, 0.72)","0.52 (0.36, 0.74)","0.53 (0.36, 0.77)","0.62 (-31.06, 43.34)"
